Plancode,IssueVersion,Sex,Rateclass,Band,State,Index(PREMLOAD),Index(TRGPREM),Index(MFEE),Index(SCR),Index(COI),Index(EPU),Index(GLP),MORTID,Index(SHDINT),Index(TRAD_CV)
1U1F4M00,1,F,F,4,NY,,13427,,13508,13407,,,,,
1U1F4M00,1,F,G,1,AA,,13428,,13509,13408,,,,,
1U1F4M00,1,F,G,1,NJ,,13428,,13510,13408,,,,,
1U1F4M00,1,F,G,1,NY,,13428,,13511,13408,,,,,
1U1F4M00,1,F,G,2,AA,,13429,,13512,13408,,,,,
1U1F4M00,1,F,G,2,NJ,,13429,,13513,13408,,,,,
1U1F4M00,1,F,G,2,NY,,13429,,13514,13408,,,,,
1U1F4M00,1,F,G,3,AA,,13430,,13515,13408,,,,,
1U1F4M00,1,F,G,3,NJ,,13430,,13516,13408,,,,,
1U1F4M00,1,F,G,3,NY,,13430,,13517,13408,,,,,
1U1F4M00,1,F,G,4,AA,,13431,,13518,13408,,,,,
1U1F4M00,1,F,G,4,NJ,,13431,,13519,13408,,,,,
1U1F4M00,1,F,G,4,NY,,13431,,13520,13408,,,,,
1U1F4M00,1,F,H,1,AA,,13432,,13524,13409,,,,,
1U1F4M00,1,F,H,1,MD,,13432,,13522,13409,,,,,
1U1F4M00,1,F,H,1,NJ,,13432,,13523,13409,,,,,
1U1F4M00,1,F,H,2,AA,,13433,,13528,13409,,,,,
1U1F4M00,1,F,H,2,MD,,13433,,13526,13409,,,,,
1U1F4M00,1,F,H,2,NJ,,13433,,13527,13409,,,,,
1U1F4M00,1,F,H,3,AA,,13434,,13532,13409,,,,,
1U1F4M00,1,F,H,3,MD,,13434,,13530,13409,,,,,
1U1F4M00,1,F,H,3,NJ,,13434,,13531,13409,,,,,
1U1F4M00,1,F,H,4,AA,,13435,,13536,13409,,,,,
1U1F4M00,1,F,H,4,MD,,13435,,13534,13409,,,,,
1U1F4M00,1,F,H,4,NJ,,13435,,13535,13409,,,,,
1U1F4M00,1,F,I,1,AA,,13436,,13540,13410,,,,,
1U1F4M00,1,F,I,1,NJ,,13436,,13538,13410,,,,,
1U1F4M00,1,F,I,1,NY,,13436,,13539,13410,,,,,
1U1F4M00,1,F,I,2,AA,,13437,,13544,13410,,,,,
1U1F4M00,1,F,I,2,NJ,,13437,,13542,13410,,,,,
1U1F4M00,1,F,I,2,NY,,13437,,13543,13410,,,,,
1U1F4M00,1,F,I,3,AA,,13438,,13548,13410,,,,,
1U1F4M00,1,F,I,3,NJ,,13438,,13546,13410,,,,,
1U1F4M00,1,F,I,3,NY,,13438,,13547,13410,,,,,
1U1F4M00,1,F,I,4,AA,,13439,,13552,13410,,,,,
1U1F4M00,1,F,I,4,NJ,,13439,,13550,13410,,,,,
1U1F4M00,1,F,I,4,NY,,13439,,13551,13410,,,,,
1U1F4M00,1,F,K,1,AA,,13440,,13556,13411,,,,,
1U1F4M00,1,F,K,1,MD,,13440,,13554,13411,,,,,
1U1F4M00,1,F,K,1,NJ,,13440,,13555,13411,,,,,
1U1F4M00,1,F,K,2,AA,,13441,,13560,13411,,,,,
1U1F4M00,1,F,K,2,MD,,13441,,13558,13411,,,,,
1U1F4M00,1,F,K,2,NJ,,13441,,13559,13411,,,,,
1U1F4M00,1,F,K,3,AA,,13442,,13564,13411,,,,,
1U1F4M00,1,F,K,3,MD,,13442,,13562,13411,,,,,
1U1F4M00,1,F,K,3,NJ,,13442,,13563,13411,,,,,
1U1F4M00,1,F,K,4,AA,,13443,,13568,13411,,,,,
1U1F4M00,1,F,K,4,MD,,13443,,13566,13411,,,,,
1U1F4M00,1,F,K,4,NJ,,13443,,13567,13411,,,,,
