idx	letter	header	formula	val_r12
166	FJ	vRateclassCov3	=IF(vInforceValuationDate,sINPUT_Rateclass_Cov_3,IF(AND(NOT(DS11),DS12),FI12,FJ11))	
167	FK	Substandard / Table Rating 1	=IF(sINPUT_Table_Rating_Change_Date<>"", IF(sINPUT_Table_Rating_Change_Date=vDate, sINPUT_Table_Rating_Change_NewTableRatingCode,FK11),FK11)	0
168	FL	Table Rating 2	=IF(vInforceValuationDate,IF(DR12,sINPUT_TableRatingSA2,IF(AND(DR12,NOT(DR11)),FK12,FL11)),IF(AND(DL12>DL11,DR12,NOT(DR11)),sINPUT_Table_Rating,FL11))	0
169	FM	Table Rating 3	=IF(vInforceValuationDate,IF(DS12,sINPUT_TableRatingSA2,IF(AND(DS12,NOT(DS11)),FL12,FM11)),IF(AND(DM12>DM11,DS12,NOT(DS11)),FL12,FM11))	0
170	FN	vBaseFlat1	=IF(G12<sINPUT_Flat_1_CeaseAge,sINPUT_Flat_1_Amount*IF(sINPUT_Flat_1_CeaseAge-sINPUT_Issue_Age<6,1,IF(sINPUT_FlatDiscount,0.8,1)),0)	0
171	FO	vBaseFlat2	=IF(G12<sINPUT_Flat_2_CeaseAge,sINPUT_Flat_2_Amount*IF(sINPUT_Flat_2_CeaseAge-sINPUT_Issue_Age<6,1,IF(sINPUT_FlatDiscount,0.8,1)),0)	0
172	FP	vCoverage_Change	=IF(NOT(vLiveCalc),FALSE,OR(FC12<>FC11,FH12<>FH11,FI12<>FI11,FJ12<>FJ11,FK12<>FK11,FL12<>FL11,FM12<>FM11,FN12<>FN11,FO12<>FO11))	False
173	FQ	vPolicyChangeAVReduction	=BN12+CM12+DH12	0
174	FR			
175	FS	Premium Waiver / vPW_Active	=IF(vAttainedAge>=sRates_PW_PayupAge,FALSE,IF(AND(sPW_Change_Date<>"",vDate>=sPW_Change_Date),sPW_Change_Active,sINPUT_PW_Boolean))	False
176	FT	vPW_Change	=AND((FS12<>FS11),vAttainedAge<sRates_PW_PayupAge)	False
177	FU	Stipulated Premium Waiver / vPWST_Active	=FV12>0	False
178	FV	vPWST_Units	=IF(AND(sPWST_Change_Date<>"",vDate>=sPWST_Change_Date),sPWST_Change_Amount,IF(sINPUT_PWST_Boolean,IF(vAttainedAge>=sRates_PWSTP_PayupAge,0,sINPUT_PWST_Premium),0))	0
179	FW	vPWST_Change	=IF(OR(FU12<>FU11,FV12<>FV11),vAttainedAge<sRates_PWSTP_PayupAge,FALSE)	False
180	FX	Guaranteed Increase Option / vGIR_Active	=FY12>0	False
