idx	letter	header	formula	val_r6	val_r12
642	XR	Found on 6258 seg / Shadow AV	=IF(vInforceValuationDate, sInput_CurrentShadowAV, XF12-XQ12)	0	0
643	XS	# of Days	=UB12	30	31
644	XT	Shadow Int Rate	=PolicyRates!GU10	0.05	0.05
645	XU	Eff Rate	=(1+XT12)^(XS12/365)-1	0.004018201891974993	0.004152419664797069
646	XV	Shadow Interest	=MAX(0,XU12*XR12)	0	0
647	XW	vShadowEAV	=IF(OR(vCCV_Active,sShadowInherent),IF(vAttainedAge>(sShadowCeaseAge-1),0,ROUND(XR12+XV12,2)),0)	0	0
648	XX	vShadowEAV_less_Debt	=vShadowEAV-vIllustrationLN	0	0
649	XY				
650	XZ	MEC and Guideline Testing / 7-Pay Yr 1	=IF($KZ12,IF(VALUE(RIGHT(XZ$5,1))=1,vAppliedTotalPremium-vGrossWD-vApplied1035,0),IF(vInforceValuationDate,sINPUT_TAMRA_Contribution_Yr_1,0)+IF(vTAMRA_Year=VALUE(RIGHT(XZ$5,1)),vAppliedTotalPremium-vGrossWD-vApplied1035+IF($KZ12,0,XZ11),XZ11))	0	0
651	YA	7-Pay Yr 2	=IF($KZ12,IF(VALUE(RIGHT(YA$5,1))=1,vAppliedTotalPremium-vGrossWD-vApplied1035,0),IF(vInforceValuationDate,sINPUT_TAMRA_Contribution_Yr_2,0)+IF(vTAMRA_Year=VALUE(RIGHT(YA$5,1)),vAppliedTotalPremium-vGrossWD-vApplied1035+IF($KZ12,0,YA11),YA11))	0	0
652	YB	7-Pay Yr 3	=IF($KZ12,IF(VALUE(RIGHT(YB$5,1))=1,vAppliedTotalPremium-vGrossWD-vApplied1035,0),IF(vInforceValuationDate,sINPUT_TAMRA_Contribution_Yr_3,0)+IF(vTAMRA_Year=VALUE(RIGHT(YB$5,1)),vAppliedTotalPremium-vGrossWD-vApplied1035+IF($KZ12,0,YB11),YB11))	0	0
653	YC	7-Pay Yr 4	=IF($KZ12,IF(VALUE(RIGHT(YC$5,1))=1,vAppliedTotalPremium-vGrossWD-vApplied1035,0),IF(vInforceValuationDate,sINPUT_TAMRA_Contribution_Yr_4,0)+IF(vTAMRA_Year=VALUE(RIGHT(YC$5,1)),vAppliedTotalPremium-vGrossWD-vApplied1035+IF($KZ12,0,YC11),YC11))	0	0
654	YD	7-Pay Yr 5	=IF($KZ12,IF(VALUE(RIGHT(YD$5,1))=1,vAppliedTotalPremium-vGrossWD-vApplied1035,0),IF(vInforceValuationDate,sINPUT_TAMRA_Contribution_Yr_5,0)+IF(vTAMRA_Year=VALUE(RIGHT(YD$5,1)),vAppliedTotalPremium-vGrossWD-vApplied1035+IF($KZ12,0,YD11),YD11))	0	0
655	YE	7-Pay Yr 6	=IF($KZ12,IF(VALUE(RIGHT(YE$5,1))=1,vAppliedTotalPremium-vGrossWD-vApplied1035,0),IF(vInforceValuationDate,sINPUT_TAMRA_Contribution_Yr_6,0)+IF(vTAMRA_Year=VALUE(RIGHT(YE$5,1)),vAppliedTotalPremium-vGrossWD-vApplied1035+IF($KZ12,0,YE11),YE11))	0	0
656	YF	7-Pay Yr 7	=IF($KZ12,IF(VALUE(RIGHT(YF$5,1))=1,vAppliedTotalPremium-vGrossWD-vApplied1035,0),IF(vInforceValuationDate,sINPUT_TAMRA_Contribution_Yr_7,0)+IF(vTAMRA_Year=VALUE(RIGHT(YF$5,1)),vAppliedTotalPremium-vGrossWD-vApplied1035+IF($KZ12,0,YF11),YF11))	0	0
657	YG	vMEC	=IF(vInforceValuationDate,sINPUT_IsMEC,OR(YG11,YH12,YI12))	False	False
658	YH	CVAT MEC	=IF(OM12<=0,FALSE,IF(ND12<OM12,TRUE,FALSE))	False	False
659	YI	7Pay MEC	=IF(vInforceValuationDate,sINPUT_IsMEC,IF(vTAMRA_Year>7,YI11,OR(YI11, SUM(XZ12:XZ12)>MAX(0,KY12), SUM(XZ12:YA12)>MAX(0,KY12)*2, SUM(XZ12:YB12)>MAX(0,KY12)*3, SUM(XZ12:YC12)>MAX(0,KY12)*4, SUM(XZ12:YD12)>MAX(0,KY12)*5, SUM(XZ12:YE12)>MAX(0,KY12)*6, SUM(XZ12:YF12)>MAX(0,KY12)*7)))	False	False
660	YJ	TEFRA Violation	=IF(sINPUT_Guideline="CVAT", FALSE,(vPremTD - vWithdrawalTD)>vTEFRA_Limit)	False	False
661	YK	vScheduledPremLimitedByGP	=IF(vLumpsum +vPlannedPremium = 0, FALSE,NV12<LS12)	False	False
662	YL	vAccumMTP_less_PremTD	=(vPremTD - vWithdrawalTD-vIllustrationLN)- vAccumMTP	-46.87	-328.09
663	YM	Termination Yr / Termination Age / SNET	=IF(sINPUT_InforceIndicator="Y",IF(vDate>=sINPUT_MAP_CeaseDate,FALSE,IF(vInforceValuationDate,TRUE,AND(YM11,YL12>=0))),IF(vYear>sRates_SNET,FALSE,AND(YM11,YL12>=0)))	False	False
664	YN	=INDEX(vYear,YN2) / =INDEX(vAttainedAge,YN2) / Shadow Protection	=IF(vCCV_Active,IF(vYear<=sRates_SNET,FALSE, IF(AND(sShadowLoanImpact="Nullify",vPolicyDebtDisplay>0),FALSE, XR12-vPolicyDebtDisplay>0)),FALSE)	False	False
665	YO	=sLapseValue="SV" / PositiveSV	=AND($YO$4,vLapseSV>0)	False	False
666	YP	=sLapseValue="AV" / AV-Loans > 0	=AND($YP$4,vAV-vPolicyDebtDisplay>0)	False	False
667	YQ	GP Exception Prem Protection	=AND(SY12,TL12+0.0001>0)	False	False
668	YR	Termination ID	=IF(AND(YS11,NOT(YS12)),B12,0)	0	0
669	YS	Inforce?	=IF(vAttainedAge>=sMaturityAge,FALSE,AND(YS11,IF(sINPUT_InforceIndicator="Y",OR(YP12,YQ12,YM12,YO12,YN12,NOT(vForecasting)),OR(YP12,YQ12,YM12,YO12,YN12))))	True	True
670	YT				
671	YU	BDCV	=AAI11	0	-187.29713364798215
672	YV	Same charges and premium load / WD, Fees and Charges	=vGrossWD	0	0
673	YW	vDCV_AfterChanges	=YU12-YV12	0	-187.29713364798215
674	YX	Net Premium	=vNetPremium	0	0
675	YY	vDCV_AfterPremium	=IF(vInforceValuationDate,sInput_DeemedCashValue,YW12+YX12)	0	-187.29713364798215
676	YZ	DCV NAAR AV	=MAX(YY12,0)	0	0
677	ZA	DCV DB	=vCurrentSA+IF(CT12="A",0,0)+IF(CT12="B",YZ12,0)+IF(CT12="C",MAX(0,OB12-BD12),0)	150000	150000
678	ZB	DCV COI Rate Cov 1	=PolicyRates!FR10	0.08338	0.08338
679	ZC	DCV COI Rate Cov 2	=PolicyRates!FS10	0	0
680	ZD	DCV COI Rate Cov 3	=PolicyRates!FT10	0	0
681	ZE	DCV COI rate SubsCov 1	=ZB12*(1+sTableRatingFactor*$FK12)+ ROUND((TRUNC($FN12/12,2)+TRUNC($FO12/12,2)),2)	0.08338	0.08338
682	ZF	DCV COI rate SubsCov 2	=ZC12*(1+sTableRatingFactor*$FK12)+ ROUND((TRUNC($FN12/12,2)+TRUNC($FO12/12,2)),2)	0	0
683	ZG	DCV COI rate SubsCov 3	=ZD12*(1+sTableRatingFactor*$FK12)+ ROUND((TRUNC($FN12/12,2)+TRUNC($FO12/12,2)),2)	0	0
684	ZH	DCV DBD Rate	=s7702_GLP_Rate	0.04	0.04
685	ZI	DCV DBD Cov 1	=(vCurrentSA1+IF(CT12="B",YZ12,0))/((1+$ZH12)^(1/12))	149510.54139278433	149510.54139278433
686	ZJ	DCV DBD Cov 2	=vCurrentSA2/((1+$ZH12)^(1/12))	0	0
687	ZK	DCV DBD Cov 3	=vCurrentSA3/((1+$ZH12)^(1/12))	0	0
688	ZL	DCV NAAR Cov 1	=MAX(ZI12-YZ12,0)	149510.54139278433	149510.54139278433
689	ZM	DCV NAAR Cov 2	=MAX(ZJ12-MAX($YZ12-(MAX(SUM($ZL12:ZL12)-SUM($ZI12:ZI12),0)),0),0)	0	0
690	ZN	DCV NAAR Cov 3	=MAX(ZK12-MAX($YZ12-(MAX(SUM($ZL12:ZM12)-SUM($ZI12:ZJ12),0)),0),0)	0	0
691	ZO	DCV COI Charge Cov 1	=ZE12*ZL12/1000	12.466188941330358	12.466188941330358
692	ZP	DCV COI Charge Cov 2	=ZF12*ZM12/1000	0	0
693	ZQ	DCV COI Charge Cov 3	=ZG12*ZN12/1000	0	0
694	ZR	DCV COI Charge	=ZO12+ZP12+ZQ12	12.466188941330358	12.466188941330358
695	ZS	Rider / Charges	=vRiderBenefitCharge-SN12	0	0
696	ZT	Current Expense Per Unit Charge / Current EPU Rate for Segments / 1	=PolicyRates!FA10	0.09167	0.09167
697	ZU	2	=PolicyRates!FB10	0	0
698	ZV	3	=PolicyRates!FC10	0	0
699	ZW	Current EPU Cov 1	=ROUND(EP12*ZT12/1000,2)	13.75	13.75
700	ZX	Current EPU Cov 2	=ROUND(EQ12*ZU12/1000,2)	0	0
701	ZY	Current EPU Cov 3	=ROUND(ER12*ZV12/1000,2)	0	0
702	ZZ	Monthly Fee	=SG12	5	5
703	AAA	3/16/2022: Derrick confirmed the VPMS model is deducting the PoAV from the DCV / PoAV	=PolicyRates!FF10	0	0
704	AAB	Current PoAV Chg	=MAX(0,AAA12*YY12)	0	0
705	AAC	MDwoPW	=AAB12+ZZ12+ZW12+ZX12+ZY12+ZS12+ZR12	31.21618894133036	31.21618894133036
706	AAD	Prem2Waive	=MAX(vMTP/12,AAC12)	46.875	46.875
707	AAE	PW39 Charge	=SM12*AAD12	0	0
708	AAF	DCV MD	=AAC12+AAE12	31.21618894133036	31.21618894133036
709	AAG	=14914*25 / vDCV	=YY12-AAF12	-31.21618894133036	-218.5133225893125
710	AAH	DCV Interest	=MAX(0,AAG12*((1+ZH12)^(UB12/365)-1))	0	0
711	AAI	vEDCV	=AAG12+AAH12	-31.21618894133036	-218.5133225893125
712	AAJ				
713	AAK	DB w/o Factor	=IF(CT12="A",FC12,IF(CT12="B",FC12+W12,IF(CT12="C",FC12+AG12)))	150000	150000
714	AAL	DB Factor Amount	=MAX(0,IF(sINPUT_Guideline="GPT",OR12,IF(sINPUT_Guideline="CVAT",AAM12,1))*W12-AAK12)	0	0
715	AAM	MDBR Cov 1	=PolicyRates!EG10	1	1
716	AAN	CVAT NSP Test	=AAO12/AAM12	150000	150000
717	AAO	Lowest SA in initial 7 years	=IF(D12>7,MIN(OFFSET($DO$7:$DO$1483,0,0,MATCH(8,$D$6:$D$1482,0),1)),MIN($DO$6:DO12))	150000	150000
718	AAP				
719	AAQ				
720	AAR	vAccumGCO	=IF(sAnnQualGCO,vAccumMTP,0)	0	0
721	AAS	PremTD less WD and Loans	=(vPremTD - vWithdrawalTD-vIllustrationLN)	0	0
722	AAT	Qual Test A	=IF(blnGCO, IF(vInforceValuationDate,TRUE,IF(vYear>26,FALSE,IF(vMonth=1,AAS11>=AAR11,AAT11))),FALSE)	True	False
723	AAU	Qual Test B	=IF(blnGCO, IF(vInforceValuationDate,TRUE,IF(vYear>26,FALSE,IF(AND(vLiveCalc*1,vMonth=1),VLOOKUP(vYear,'Annual Qualification'!$A$4:$D$29,4,0),AAU11))),FALSE)	False	False
724	AAV	GCO Inforce	=IF(vLiveCalc,AND(IF(vInforceValuationDate,AAV11,TRUE),OR(AAT12,AAU12,AND(YS12,NOT(sAnnQualGCO)))),FALSE)	False	False
725	AAW	Option Period	=IF(blnGCO,IF(AAV12,IF(vMonth=12, IF(AND(sGCO15_Active,vYear=15),15, IF(AND(sGCO20_Active,vYear=20),20, IF(AND(sGCO25_Active,vYear=25),25,0))),0),0),0)	0	0
726	AAX	Enhancement CAP	=IF(AAW12>0,VLOOKUP(AAW12&vCurrentBand,tRates_Benefit_GCO,2,0),0)	0	0
727	AAY	Eligible Prem	=IF(AAW12>0,VLOOKUP(AAW12&vCurrentBand,tRates_Benefit_GCO,3,0),0)	0	0
728	AAZ	GCO Amount	=IF(blnGCO,MIN(AAX12*INDEX(vCurrentSA,vID),AAS12*AAY12),0)	0	0
729	ABA				
